#	Sample ID	User name	Date and Time	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	Factor
1	V1	Eric Jinglong Ma	9/28/2016 4:03:59 PM	463.9	ng/µl	9.279	4.901	1.89	2.37	DNA	50.00
2	V2	Eric Jinglong Ma	9/28/2016 4:05:03 PM	428.4	ng/µl	8.567	4.528	1.89	2.28	DNA	50.00
3	V3	Eric Jinglong Ma	9/28/2016 4:05:29 PM	344.9	ng/µl	6.898	3.610	1.91	2.38	DNA	50.00
4	V4	Eric Jinglong Ma	9/28/2016 4:05:54 PM	453.0	ng/µl	9.060	4.772	1.90	2.32	DNA	50.00
5	L1	Eric Jinglong Ma	9/28/2016 4:06:19 PM	508.0	ng/µl	10.159	5.343	1.90	2.35	DNA	50.00
6	L2	Eric Jinglong Ma	9/28/2016 4:06:42 PM	51.1	ng/µl	1.022	0.493	2.07	2.92	DNA	50.00
7	L3	Eric Jinglong Ma	9/28/2016 4:07:11 PM	476.9	ng/µl	9.539	5.029	1.90	2.36	DNA	50.00
8	L4	Eric Jinglong Ma	9/28/2016 4:07:34 PM	432.8	ng/µl	8.656	4.561	1.90	2.37	DNA	50.00
9	L5	Eric Jinglong Ma	9/28/2016 4:08:03 PM	180.0	ng/µl	3.600	1.855	1.94	2.47	DNA	50.00
10	L6	Eric Jinglong Ma	9/28/2016 4:08:28 PM	451.2	ng/µl	9.025	4.759	1.90	2.37	DNA	50.00
11	L7	Eric Jinglong Ma	9/28/2016 4:08:55 PM	356.5	ng/µl	7.129	3.721	1.92	2.40	DNA	50.00
12	L8	Eric Jinglong Ma	9/28/2016 4:09:19 PM	306.2	ng/µl	6.124	3.248	1.89	2.06	DNA	50.00
13	L9	Eric Jinglong Ma	9/28/2016 4:09:42 PM	322.6	ng/µl	6.451	3.372	1.91	2.41	DNA	50.00
14	L10	Eric Jinglong Ma	9/28/2016 4:10:07 PM	444.2	ng/µl	8.884	4.690	1.89	2.33	DNA	50.00
15	L11	Eric Jinglong Ma	9/28/2016 4:10:32 PM	457.4	ng/µl	9.147	4.808	1.90	2.36	DNA	50.00
16	L12	Eric Jinglong Ma	9/28/2016 4:10:54 PM	1.7	ng/µl	0.035	-0.019	-1.85	-0.52	DNA	50.00
17	L13	Eric Jinglong Ma	9/28/2016 4:11:18 PM	314.3	ng/µl	6.286	3.290	1.91	2.40	DNA	50.00
18	L14	Eric Jinglong Ma	9/28/2016 4:11:39 PM	2.6	ng/µl	0.052	-0.020	-2.64	-0.78	DNA	50.00
19	L15	Eric Jinglong Ma	9/28/2016 4:12:01 PM	214.5	ng/µl	4.290	2.225	1.93	2.45	DNA	50.00
20	L16	Eric Jinglong Ma	9/28/2016 4:12:23 PM	397.2	ng/µl	7.943	4.159	1.91	2.35	DNA	50.00
